RefDes,Name,X (mil),Y (mil),Side,Rotate,Value
C1,CAP_0603,237.5,791.6,Bottom,90,
C2,CAP_0603,300,791.6,Bottom,90,
CN1,CONN5,156.3,631.3,Top,90,
CN2,CONN5,856.3,631.3,Top,270,
IC1,ATTINY48,566,621.1,Bottom,0,
LED1,HS-1288,631.3,631.3,Bottom,0,
R1,YC164,659.1,916.7,Bottom,270,
R2,YC164,659.1,333.4,Bottom,90,
U1,TC2030-AVR-NL,1168.8,981.3,Top,180,
U2,AL-LOGO-20mm,543.8,668.8,Top,0,
